Name,Address,Category
Tilt Coffee Bar,"334 S Main St, Los Angeles, CA 90013",Coffee Shop
Verve Coffee Roasters,"500 Mateo St, Los Angeles, CA 90013",Coffee Shop
Cognoscenti Coffee,"868 S Olive St, Los Angeles, CA 90014",Coffee Shop
Maru Coffee,"1019 S Santa Fe Ave (btwn Violet & Sacramento St), Los Angeles, CA 90021",Café
Stories Books & Cafe,"1716 W Sunset Blvd (at Logan St), Los Angeles, CA 90026",Bookstore
Valerie Echo Park,"1665 Echo Park Ave, Los Angeles, CA 90026",Bakery
Cafecito Organico,"534 N Hoover St (at Bellevue Ave), Los Angeles, CA 90004",Coffee Shop
Spoke Bicycle Cafe,"3050 N North Coolidge Ave, Los Angeles, CA 90039",Café
Document Coffee Bar,"3850 Wilshire Blvd, Los Angeles, CA 90010",Café
Broome St. General Store,"2912 Rowena Ave, Los Angeles, CA 90039",Bakery
